problem;method;seed;is_train_solved;is_test_solved;train_error;test_error;generation
CO;Rand+Transferred;1014;False;False;1241.0;17257.0;300
CO;Rand+Transferred;1015;False;False;991.0;12828.0;300
CO;Rand+Transferred;1016;False;False;1343.0;17954.0;300
CO;Rand+Transferred;1017;False;False;1250.0;17678.0;300
CO;Rand+Transferred;1018;False;False;1237.0;18085.0;300
CO;Rand+Transferred;1019;False;False;1334.0;17974.0;300
CO;Rand+Transferred;1020;True;True;0.0;0.0;163
CO;Rand+Transferred;1021;False;False;1206.0;18404.0;300
CO;Adapt+Transferred;1001;False;False;1253.0;17145.0;300
CO;Adapt+Transferred;1002;False;False;1202.0;20343.0;300
CO;Adapt+Transferred;1003;False;False;1217.0;19588.0;300
CO;Adapt+Transferred;1004;False;False;1421.0;18271.0;300
CO;Adapt+Transferred;1005;False;False;1202.0;18118.0;300
CO;Adapt+Transferred;1006;False;False;1369.0;17121.0;300
CO;Adapt+Transferred;1007;False;False;1267.0;18595.0;300
CO;Adapt+Transferred;1008;False;False;1294.0;20200.0;300
CO;Adapt+Transferred;1009;False;False;1399.0;17460.0;300
CO;Adapt+Transferred;1010;False;False;1249.0;16924.0;300
CO;Adapt+Transferred;1011;False;False;1292.0;17773.0;300
CO;Adapt+Transferred;1012;True;True;0.0;0.0;247
CO;Adapt+Transferred;1013;False;False;1276.0;20485.0;300
CO;Adapt+Transferred;1014;False;False;1219.0;17807.0;300
CO;Adapt+Transferred;1015;False;False;1263.0;20834.0;300
CO;Adapt+Transferred;1016;False;False;1271.0;17459.0;300
CO;Adapt+Transferred;1017;False;False;1266.0;18808.0;300
CO;Adapt+Transferred;1018;False;False;1247.0;18318.0;300
CO;Adapt+Transferred;1019;False;False;1329.0;18541.0;300
CO;Adapt+Transferred;1020;False;False;1233.0;16778.0;300
CO;Adapt+Transferred;1021;False;False;1207.0;17035.0;300
MD;None;1001;False;False;10.0;184.0;300
MD;None;1002;True;True;0.0;0.0;222
MD;None;1003;False;False;7.0;149.0;300
MD;None;1004;False;False;2.0;161.0;300
MD;None;1005;False;False;6.0;129.0;300
MD;None;1006;True;True;0.0;0.0;61
MD;None;1007;False;False;10.0;208.0;300
MD;None;1008;False;False;34.0;531.0;300
MD;None;1009;False;False;11.0;160.0;300
MD;None;1010;True;True;0.0;0.0;291
MD;None;1011;False;False;10.0;235.0;300
MD;None;1012;False;False;8.0;193.0;300
MD;None;1013;False;False;8.0;238.0;300
MD;None;1014;False;False;10.0;129.0;300
MD;None;1015;True;True;0.0;0.0;238
MD;None;1016;False;False;9.0;195.0;300
MD;None;1017;False;False;13.0;147.0;300
MD;None;1018;False;False;16.0;189.0;300
MD;None;1019;False;False;5.0;198.0;300
MD;None;1020;False;False;7.0;121.0;300
MD;None;1021;True;True;0.0;0.0;61
MD;Rand+Transferred;1001;False;False;34.0;547.0;300
MD;Rand+Transferred;1002;False;False;11.0;213.0;300
MD;Rand+Transferred;1003;False;False;14.0;140.0;300
MD;Rand+Transferred;1004;False;False;8.0;222.0;300
