problem;method;seed;is_train_solved;is_test_solved;train_error;test_error;generation
CO;Rand+Tested-bad;1015;False;False;1272.0;18295.0;300
CO;Rand+Tested-bad;1016;False;False;1344.0;17015.0;300
CO;Rand+Tested-bad;1017;False;False;1289.0;20173.0;300
CO;Rand+Tested-bad;1018;False;False;1266.0;18184.0;300
CO;Rand+Tested-bad;1019;False;False;1379.0;18481.0;300
CO;Rand+Tested-bad;1020;False;False;1254.0;16464.0;300
CO;Rand+Tested-bad;1021;False;False;1251.0;16875.0;300
CO;Rand+Tested-good;1001;True;True;0.0;0.0;23
CO;Rand+Tested-good;1002;True;True;0.0;0.0;120
CO;Rand+Tested-good;1003;True;True;0.0;0.0;144
CO;Rand+Tested-good;1004;True;True;0.0;0.0;193
CO;Rand+Tested-good;1005;False;False;1137.0;13540.0;300
CO;Rand+Tested-good;1006;True;True;0.0;0.0;91
CO;Rand+Tested-good;1007;True;True;0.0;0.0;79
CO;Rand+Tested-good;1008;False;False;1117.0;13198.0;300
CO;Rand+Tested-good;1009;True;True;0.0;0.0;21
CO;Rand+Tested-good;1010;True;True;0.0;0.0;193
CO;Rand+Tested-good;1011;False;False;996.0;14403.0;300
CO;Rand+Tested-good;1012;True;True;0.0;0.0;223
CO;Rand+Tested-good;1013;True;True;0.0;0.0;89
CO;Rand+Tested-good;1014;True;True;0.0;0.0;194
CO;Rand+Tested-good;1015;True;True;0.0;0.0;106
CO;Rand+Tested-good;1016;True;True;0.0;0.0;160
CO;Rand+Tested-good;1017;False;False;1.0;1.0;300
CO;Rand+Tested-good;1018;True;True;0.0;0.0;52
CO;Rand+Tested-good;1019;False;False;1124.0;14839.0;300
CO;Rand+Tested-good;1020;True;True;0.0;0.0;216
CO;Rand+Tested-good;1021;False;False;1138.0;21013159.0;300
CO;Rand+Mixed;1001;True;True;0.0;0.0;268
CO;Rand+Mixed;1002;False;False;641.0;8625.0;300
CO;Rand+Mixed;1003;True;True;0.0;0.0;57
CO;Rand+Mixed;1004;False;False;1407.0;17600.0;300
CO;Rand+Mixed;1005;False;False;1224.0;16932.0;300
CO;Rand+Mixed;1006;True;True;0.0;0.0;30
CO;Rand+Mixed;1007;True;True;0.0;0.0;91
CO;Rand+Mixed;1008;False;False;1278.0;17139.0;300
CO;Rand+Mixed;1009;True;True;0.0;0.0;213
CO;Rand+Mixed;1010;True;True;0.0;0.0;152
CO;Rand+Mixed;1011;True;True;0.0;0.0;63
